iso3,intervention,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo,household.visits
ERI,Under 5 & HIV+ve & LTBI+,73.0726409662188,134.160551599378,0.0539737077006443,8.53333429296773,13.2654482443913,0.0246600099555329,64.5393066732511,112.81172968985,0.0323233889540352,73.5452352266155,135.181373484975,0.0550300197687221,0.285653393242734,0.186672446864676,0.00433955284736199,0.958694089220224,1.23827099527147,0.00571183158790701,1.24434748246296,1.63538817100699,0.0111048912359395,730.367362718995,1416.00831956038,0.319262171302472,9.0059285533644,14.4707804191643,0.025724253193387,454.896457835044,1226.42892680339,0.291096571438588,45301.0043556132,92651.5183615689,19.1220272075394,316.133472546515,449.711871071806,0.153503247092652,64.5393066732511,112.81172968985,0.0323233889540352,1859
ESP,No intervention,17.4582213220546,41.8272781635994,0,4.36704244896831,8.1639605869284,0,13.0911788730863,30.8208540645214,0,19.4342778148923,47.3513857086728,0,0.20733324263392,0.145875135703056,0,0.602684609006012,0.501216312779885,0,0.810017851639932,0.669472012852901,0,0,0,0,4.86458138905542,9.30675833413712,0,0,0,0,32221.8823845548,68276.8662595197,0,70.6224358123246,126.429123279715,0,14.5696964258369,34.7887843781252,0,0
ESP,Under 5 & HIV+ve,17.6063256853963,41.5109904371353,0,3.03662925955938,3.80774989505254,0,14.5696964258369,34.7887843781252,0,17.9657097544773,42.1256086001024,0,0.115385743728339,0.0942365181549744,0,0.224537779021094,0.325134285273408,0,0.339923522749433,0.535891406984392,0,414.700287893372,832.912706508728,0,3.39601332864035,4.16515785372181,0,133.32996386455,0,0,32259.7212949574,68370.7893369037,0,70.6224358123246,126.429123279715,0,14.5696964258369,34.7887843781252,0,4466
ESP,Under 5 & HIV+ve & LTBI+,16.2314440379074,39.425596115337,0,1.66174761207048,2.57042806582525,0,14.5696964258369,34.7887843781252,0,16.420899095818,39.933132125419,0,0.0775963252659967,0.0514737863073714,0,0.224537779021094,0.325134285273408,0,0.302134104287091,0.447418404438075,0,414.700287893372,832.912706508728,0,1.85120266998112,2.94624120975131,0,182.156336066901,289.1203654392,0,32262.5795628095,68370.7893369037,0,70.6224358123246,126.429123279715,0,14.5696964258369,34.7887843781252,0,4466
EST,No intervention,0.186507625846424,0.421251272835658,0.000647866289288047,0.0446760076259346,0.0785898405045538,0.000425535146411348,0.141831618220489,0.317413907965539,0.000225874546923801,0.65178475316811,1.57684932270178,0.00218798961774906,0.0339537207629307,0.0441800402069627,0.000897942846071531,0.103799495876086,0.163918043055657,0.000506680739696985,0.137753216639017,0.213734483168371,0.0014396189750637,0,0,0,0.156154406384674,0.287706305138428,0.00148306691878758,0,0,0,1007.73116052512,2156.8321102396,1.2815950910196,2.3937960727154,4.32555455235182,0.00345192120993543,0.495630346783436,1.18805530039672,0.000762957265866921,0
EST,Under 5 & HIV+ve,0.526425494197698,1.26098592185098,0.000909682588704104,0.0307951474142616,0.0364829938968728,0.000159026201544968,0.495630346783436,1.18805530039672,0.000762957265866921,0.603174218300739,1.4186407353742,0.00127776573113171,0.0181798977831138,0.0297019311171004,0.000317818114481419,0.0083057597001286,0.0104160739572919,0.000152713947589297,0.0264856574832424,0.0483522352799914,0.000517499957938261,14.0639026199373,28.6830870396806,0.0189310420410496,0.107543871517303,0.130120048756353,0.000553945123337057,4.71777459466157,0.365006107492709,0.0138746827664222,1016.08249762381,2195.47817554418,1.34114816924268,2.3937960727154,4.32555455235182,0.00345192120993543,0.495630346783436,1.18805530039672,0.000762957265866921,184
EST,Under 5 & HIV+ve & LTBI+,0.512601592948598,1.23514381104634,0.000909682588704104,0.0169712461651615,0.0246682394089611,0.000159026201544968,0.495630346783436,1.18805530039672,0.000762957265866921,0.55491171380105,1.33880449426213,0.00127776573113171,0.0128521353958418,0.0149938225586085,0.000317818114481419,0.0083057597001286,0.0104160739572919,0.000152713947589297,0.0211578950959704,0.0295710930041161,0.000517499957938261,14.0639026199373,28.6830870396806,0.0189310420410496,0.0592813670176144,0.0890882790067276,0.000553945123337057,6.3455763095677,9.57865427937053,0.0182553411759068,1016.45594285282,2195.47817554418,1.34114816924268,2.3937960727154,4.32555455235182,0.00345192120993543,0.495630346783436,1.18805530039672,0.000762957265866921,184
ETH,No intervention,4957.60716689802,7917.3551095655,25.9663630994763,1326.00829116375,2148.06753548165,15.4874184882219,3631.59887573426,5060.20115624047,8.25047270393981,5791.15674788888,11744.7353777714,29.9136310282748,122.521315007248,41.3760293138573,3.33511175121066,306.820723641438,110.029102204626,2.27313273024792,429.342038648687,158.65489250481,6.30986893096117,0,0,0,1563.03341372163,3093.20796887389,19.2729845214032,0,0,0,2978820.11313272,6221959.23394249,6003.89512828423,20401.6464169283,30598.7828464393,47.2967580781553,4228.12333416725,7456.1646901136,10.3266028427487,0
ETH,Under 5 & HIV+ve,5290.67752606837,9429.99969735496,16.3561668510901,1062.55419190112,757.044316846683,5.45363206875358,4228.12333416725,7456.1646901136,10.3266028427487,5384.7561122138,9824.58770824976,17.7439123381997,52.0562081399312,38.1951556858706,1.14012728998692,64.0797713257836,78.0902242980166,1.43343287127469,116.135979465715,146.535660710687,3.10289070813099,47541.3699748629,96138.0684967878,100.987115606656,1156.63277804655,1211.01027850775,6.88192820352687,14738.1127728535,695.85063320185,69.7866850387165,2999553.46102428,6341555.69309506,6176.98556668259,20401.6464169283,30598.7828464393,47.2967580781553,4228.12333416725,7456.1646901136,10.3266028427487,110683
ETH,Under 5 & HIV+ve & LTBI+,4725.1300636093,8716.0733330855,16.3561668510901,497.006729442049,673.718266224859,5.45363206875358,4228.12333416725,7456.1646901136,10.3266028427487,4815.10967705736,9025.35986014021,17.7439123381997,46.3691178484374,15.1075019037183,1.13966323230368,64.0797713257836,78.0902242980166,1.43343287127469,110.448889174221,122.190570976543,3.10289070813099,47541.3699748629,96138.0684967878,100.987115606656,586.986342890114,948.489416088894,6.88192820352687,29900.2727040589,81750.8160767485,91.5734957956962,2999904.37971751,6341555.69309506,6176.98556668259,20401.6464169283,30598.7828464393,47.2967580781553,4228.12333416725,7456.1646901136,10.3266028427487,110683
