intervention,iso3,acat,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo
No intervention,ATG,"[5,15)",0.0117589884230884,0,0,0.00297233193181147,0,0,0.00878665649127688,0,0,0.02239757861164,0.0518279366688765,0,0.000422567631080781,0.00011335797781621,0,0.00129317658404376,0.00036980074794292,0,0.00171574421512455,0.000478879195048302,0,0,0,0,0.00559771059890245,0.0108903953324475,0,0,0,0,39.7159525995598,103.664256437452,0,0.101942670116584,0.240095238747248,0,0.0167998680127375,0.0377402561600632,0
No intervention,AUS,"[0,5)",2.05643522052275,4.71659658553582,0,0.552854354823548,0.966033199604232,0,1.5035808656992,3.47723886282395,0,5.14218854182741,12.9931013957994,0,0.381702787812529,0.662351484981272,0,1.02184765250193,2.47900498062384,0,1.40355044031446,3.37387481707831,0,0,0,0,1.38498613489537,2.5461168135518,0,0,0,0,6471.11615130334,17587.8935783623,0,12.4501608854531,29.3155097255168,0,3.75720240693204,9.46628904428411,0
No intervention,AUS,"[5,15)",2.36630242898943,5.1490447704128,0,0.607952880764696,1.1328473764117,0,1.75834954822474,3.77435316073143,0,5.29449331346777,12.6952358148501,0,0.122104180325928,0.221511289149892,0,0.344578338075414,0.734516296699271,0,0.466682518401342,1.03710320381449,0,0,0,0,1.35948898698265,2.6570993921964,0,0,0,0,10190.2736025611,27859.2326934684,0,24.2472958666303,59.0998860080649,0,3.93500432648512,8.95805376810204,0
No intervention,AUT,"[0,5)",2.02705059464634,4.92501759466691,0,0.508184828290387,0.913344732116101,0,1.51886576635595,3.71828677640512,0,2.31295789491579,5.83840154091247,0,0.0431021635648894,0.0328414727428429,0,0.127150683737613,0.112682703682902,0,0.170252847302502,0.145259553049445,0,0,0,0,0.581072979916187,1.07131918232678,0,0,0,0,2967.78331898338,8151.21109790979,0,5.73899280137659,13.3981015529355,0,1.7318849149996,4.48486098451799,0
No intervention,AUT,"[5,15)",1.31257308505028,2.96769408125517,0,0.309059335850411,0.571069468139279,0,1.00351374919987,2.21800327003165,0,2.23653555484678,5.43422635216759,0,0.0356924493836486,0.0628053206120281,0,0.116182579939396,0.245520009557665,0,0.151875029323044,0.333681734972854,0,0,0,0,0.526510038790383,1.035766771579,0,0,0,0,4414.13107562805,12274.3469926219,0,10.6413830644395,26.4274641296072,0,1.71002551605639,3.95874636345616,0
No intervention,AZE,"[0,5)",15.8507850682022,35.324857713263,0.047872046085996,4.08497440615008,7.83079922132815,0.0247749820358998,11.7658106620522,24.3991430527876,0.01828310090731,78.2939869923874,188.019136664744,0.234979239580923,7.23268812010563,14.5938761247031,0.0767547979192678,20.6764081346972,45.5290844296094,0.0606463510966652,27.9090962548028,65.4324005569871,0.153255992478251,0,0,0,20.212979811776,41.7012486200979,0.126440093961189,0,0,0,40386.7445613401,113891.087638137,46.5330574538763,184.905125481747,506.189449185274,0.255415343228451,58.0810071806114,130.359231357881,0.0897821929552803
No intervention,AZE,"[5,15)",81.6543309471044,150.450119306339,0.159742874593278,18.4587593808488,34.8606944857439,0.0834400942710447,63.1955715662556,99.9462001767289,0.0555741397744379,114.444414176461,226.636754954388,0.226661141726183,1.2957909937378,1.96460809540757,0.024774026795746,4.40987743427521,5.76243914018422,0.0166549307336205,5.70566842801301,8.79605377627822,0.0491440937904516,0,0,0,25.8387718146792,51.5943191329462,0.121094098871333,0,0,0,70408.4350153902,197044.444612725,56.9266746699303,509.198632267518,1356.83071714334,0.453864492988727,88.6056423617813,146.008349985611,0.0776391030100708
No intervention,BDI,"[0,5)",65.0704915438616,136.305451093021,0.533966351690215,18.5969223564403,35.3458436541304,0.350065047597779,46.4735691874213,93.12872038303,0.183097470825801,278.931111539402,663.325464503216,2.19291648174043,27.5259618436293,55.2934559912354,1.01428896502929,68.086059632044,147.769519670536,0.550894695293815,95.6120214756733,220.190907245475,1.60559268812661,0,0,0,79.7852942612358,164.620950001569,1.48998627469798,0,0,0,116062.938019114,323652.991247873,332.815790217449,631.980011248023,1701.77320023298,2.2367996986938,199.145817278167,438.966256364641,0.760407188069439
No intervention,BDI,"[5,15)",233.129680934151,429.784624093481,1.41731562885027,63.7060598102966,123.686654403288,0.932619734636211,169.423621123854,258.815013119126,0.451384532078634,389.316493685616,764.607598143528,2.28526275131481,7.33694963127406,12.5012469953981,0.49455922255203,18.9577152144669,26.0155677833517,0.257280471751604,26.294664845741,43.9614688937863,0.809730930607595,0,0,0,106.228604442444,222.553191138766,1.56689519080179,0,0,0,200959.686980966,566178.753249557,400.194570968547,1705.55116526215,4613.43482127197,3.80129326186575,283.087889243172,473.045561209107,0.754042262224675
No intervention,BEL,"[0,5)",2.74295475953864,6.22373971581,0,0.709886433299699,1.17294703228568,0,2.03306832623894,4.74104011260511,0,3.62747064240515,9.06051750295655,0,0.125282338104427,0.142596612672843,0,0.341236155335846,0.550712468087744,0,0.466518493440273,0.729118413632094,0,0,0,0,0.936479048000656,1.63933525818396,0,0,0,0,4570.72173071123,12435.1221815251,0,8.85957076534659,20.7669145478568,0,2.69099159440449,6.83260887390468,0
